time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2014-12-31T19:10:00Z,-3.2525,146.1942,10,4.4,mb,,127,1.677,0.52,us,usc000tg4w,2015-03-27T02:00:52Z,"181km SW of Lorengau Papua New Guinea",earthquake,9.2,2,0.204,7,reviewed,us,us
2014-12-31T19:26:09Z,36.6558,-97.6348,5.319,3,ml,,61,,0.64,us,usc000tb61,2015-03-27T02:00:53Z,"18km SSE of Medford Oklahoma",earthquake,1.7,7.6,,,reviewed,tul,tul
2014-12-31T19:36:10Z,64.6073,-17.6866,5.71,4.3,mb,,121,1.571,0.76,us,usc000tg4x,2015-03-27T02:00:53Z,"121km S of Akureyri Iceland",earthquake,8.4,5.2,0.201,7,reviewed,us,us
2014-12-31T19:45:11Z,53.752,-165.636,61.8,4.2,mb,,,,1.44,us,usc000tb39,2015-03-27T02:00:53Z,"43km SSE of Akutan Alaska",earthquake,5.7,5.3,0.11,24,reviewed,ak,us
2014-12-31T19:55:43Z,81.6983,118.4063,10,4.3,mb,,75,10.371,0.69,us,usc000tg4y,2015-03-27T02:00:53Z,"East of Severnaya Zemlya",earthquake,8.7,1.9,0.099,31,reviewed,us,us
2014-12-31T20:16:33Z,19.1138,-66.6686,44,2.6,Md,4,288,0.76716125,0.15,pr,pr15001001,2015-03-27T02:00:53Z,"71km N of Arecibo Puerto Rico",earthquake,2,6.4,0,3,reviewed,pr,pr
2014-12-31T20:24:48Z,19.0965,-66.6548,34,2.6,Md,5,288,0.75099158,0.43,pr,pr15001002,2015-03-27T02:00:53Z,"69km N of Arecibo Puerto Rico",earthquake,4.2,19.4,0,3,reviewed,pr,pr
2014-12-31T21:58:26Z,-18.1824,-177.8246,634.66,4,mb,,146,3.948,0.57,us,usc000tg52,2015-03-27T02:00:54Z,"288km NNE of Ndoi Island Fiji",earthquake,14,11.3,0.122,18,reviewed,us,us
2014-12-31T23:35:08Z,51.716,-173.53,25.3,2.5,ml,,,,0.93,us,usc000td21,2015-03-27T02:00:54Z,"70km SE of Atka Alaska",earthquake,8.8,10.1,,18,reviewed,ak,ak
2014-12-31T23:40:19Z,36.6712,-97.6148,5.414,2.5,ml,,78,,0.43,us,usc000tcfz,2015-03-27T02:00:54Z,"18km SE of Medford Oklahoma",earthquake,1.3,7.3,,,reviewed,tul,tul
